,ego_brake,ego_dist,ego_throttle,ego_vel,other_amount,other_dist,other_vel,shield_takeover
10,0.4000000059604645,"[22.56477496 22.54289356 22.52765192 22.52872928 24.84235683 24.27331975
 23.78637752 22.57117853]",0.0,7.75205435698852,8.0,"[6.45915267 5.29963672 3.92476733 2.58771414 1.46655224 1.02755698
 1.50957641 1.54439573]","[1.0964843730549332, 1.203762375077822, 1.3252248325869043, 1.3641186294817864, 1.3208240120668413, 1.2945466467596365, 1.3224417823232737, 1.1155390656854989]",[False  True  True  True  True  True  True  True]
11,0.0,"[18.37748279 18.34708118 18.32897541 18.32549427 20.63839376 20.05859579
 19.54350214 18.38961365]",0.0,5.735770657589619,8.0,"[5.80079964 4.5775706  3.15885484 1.80120542 0.65286096 0.2511483
 0.71972664 0.82940168]","[1.0981529377321941, 1.2038662060668994, 1.2425366594703793, 1.2493290912714488, 1.3704779878597066, 1.2960690505787864, 1.3193316538532602, 1.283010300942509]",[False False  True  True False  True  True  True]
12,0.0,"[15.58560453 15.54608343 15.52215434 15.52271727 17.83158223 17.23315642
 16.6922856  15.6338116 ]",0.0,3.72674076232254,8.0,"[5.14171073 3.85577301 2.35927437 1.02796085 0.16812039 0.51513983
 0.06134742 0.08101891]","[1.099903676850422, 1.203931237966387, 1.3235166631541608, 1.2942445668694695, 1.368696874826552, 1.243763886938436, 1.2703907698487538, 1.2240636258895128]",[False False  True  True False False  True  True]
13,0.4000000059604645,"[13.74634411 13.69717315 13.66858044 13.66529224 15.98105074 15.36240953
 14.80148456 13.76427729]",0.0,2.4765085030951504,8.0,"[4.48190758 3.13417345 1.5869173  0.26741874 0.98754399 1.26141227
 0.82078814 0.57894874]","[1.1015626558344118, 1.2040101198998012, 1.2408729678279329, 1.290571349613387, 1.3663143411218552, 1.2474165760950329, 1.2692009071875805, 1.199403467525954]",[ True  True  True  True  True  True  True  True]
14,0.0,"[12.78452847 12.72536452 12.68983254 12.69564219 14.99417162 14.3555298
 13.78216167 12.77809254]",0.699999988079071,0.44543683470118545,8.0,"[3.82053479 2.41199662 0.80421207 0.51006986 1.76927514 2.00971338
 1.57979682 1.29865406]","[1.1032250981622944, 1.2039952920547856, 1.3218488728352924, 1.296741762049429, 1.26746095462025, 1.2503145614881148, 1.2679671893482343, 1.1292048860352795]",[False False False False False False False False]
15,0.0,"[12.12816425 12.05857241 12.01553765 12.01458033 14.2965055  13.64021222
 13.06242709 12.07717539]",0.699999988079071,1.8262077755003376,8.0,"[3.15581616 1.68745548 0.0196954  1.27584352 2.53260074 2.76101122
 2.34000679 2.04636534]","[1.1047919904754109, 1.2038818078071205, 1.3611224323599627, 1.2977785405766882, 1.2705133894288787, 1.2519526003153592, 1.2663214140351393, 1.2708328611829813]",[False False False False False False False False]
16,0.0,"[10.64496941 10.56548736 10.51379379 10.50882166 12.75206467 12.08516655
 11.51232709 10.5648813 ]",0.0,3.0941314260074444,8.0,"[2.49241366 0.96530702 0.79429965 2.04261137 3.29413543 3.50981942
 3.09707827 2.86183271]","[1.1065555106139195, 1.2037642169723581, 1.3599235343648381, 1.2561258348052062, 1.2744128597736166, 1.2539748722198747, 1.2662173693194725, 1.300250626049173]",[ True  True  True  True False False  True  True]
17,0.4000000059604645,"[ 8.85364391  8.76467085  8.71659465  8.70400743 10.88190514 10.21264057
  9.63418823  8.71269653]",0.0,2.542224981110622,8.0,"[1.82516352 0.23643988 1.58705624 2.81378552 4.09966359 4.25864343
 3.88889217 3.65722959]","[1.1165042618049719, 1.2198956860707593, 1.314890903883879, 1.2864030627940142, 1.3450983985238354, 1.2580041534612219, 1.333000276228542, 1.3351340647578294]",[ True  True  True  True  True  True  True  True]
18,0.4000000059604645,"[7.84962225 7.74530878 7.68794767 7.68034795 9.75292648 9.07556418
 8.5330772  7.65974819]",0.0,0.9380626084186615,8.0,"[1.15530998 0.49618496 2.38825146 3.58336723 4.89904031 4.9879372
 4.60299999 4.39544824]","[1.1184991626117866, 1.2231452953465416, 1.3336068544423294, 1.2815771877030657, 1.344969525266595, 1.2476050519523234, 1.132532953235487, 1.2679561994012443]",[ True  True  True  True False False  True  True]
19,0.0,"[7.79727208 7.67936344 7.61036338 7.59835819 9.5385222  8.86266188
 8.38721266 7.58360039]",0.699999988079071,0.015917538372141226,8.0,"[0.48357632 1.23073147 3.19390887 4.39388272 5.69210787 5.73053597
 5.28008664 5.20678157]","[1.1233415994575107, 1.2270677087342237, 1.3361894216526071, 1.35202301724313, 1.3445801176319891, 1.2469270801328314, 1.1397098873597142, 1.3515208816943225]",[False False False False False False False False]
20,0.0,"[7.57354206 7.44163497 7.35244414 7.33349424 9.11104705 8.44544525
 8.07343684 7.32396367]",0.0,1.2059764662655221,8.0,"[0.19929639 1.97552187 4.0064306  5.21177418 6.51251548 6.48067528
 5.95452045 6.02652452]","[1.1286905477612181, 1.2315702645024655, 1.3378203948550031, 1.3514726059485571, 1.4224217944381676, 1.3199381656735438, 1.1073678850623607, 1.3474763001950247]",[ True  True  True  True False False False  True]
