,ego_brake,ego_dist,ego_throttle,ego_vel,other_amount,other_dist,other_vel,shield_takeover
0,0.0,[66.68497416],0.699999988079071,0.00018586990625207517,1.0,[66.75901775],[0.0],
1,0.0,[66.68506881],0.699999988079071,0.00046321131955000846,1.0,[66.75886871],[4.6565987114219396e-08],
2,0.0,[66.68508436],0.699999988079071,3.227022863183026e-05,1.0,[66.75891414],[8.39200673534724e-09],
3,0.0,[66.68508436],0.699999988079071,1.4811630450372837e-05,1.0,[66.75891414],[1.001657232473175e-07],[False]
4,0.0,[56.65965835],0.699999988079071,0.2482671584631852,1.0,[70.23996215],[0.17635160060783037],[False]
5,0.0,[62.33837216],0.699999988079071,4.120392205817005,1.0,[71.06082971],[4.012656344771986],[False]
6,0.0,[59.4765944],0.699999988079071,5.271046704493695,1.0,[67.7795694],[5.743530502960406],[False]
7,0.0,[56.06549451],0.6638009548187256,6.093250063792619,1.0,[63.77397296],[6.6946086148211466],[False]
8,0.0,[52.64900497],0.5996159315109253,6.513797419302548,1.0,[58.7676476],[7.024661218003294],[False]
9,0.0,[49.2981848],0.5848411917686462,6.638323509604552,1.0,[53.2771434],[7.12001099859432],[False]
10,0.0,[45.84027378],0.5813669562339783,6.6742562648376484,1.0,[47.99949642],[7.150019498661042],[False]
11,0.0,[42.19866363],0.5807443857192993,6.687797874666573,1.0,[43.07562538],[7.162085932174064],[False]
12,0.0,[38.39775995],0.5808064937591553,6.695758908113231,1.0,[38.43437901],[7.169115145296564],[False]
13,0.0,[34.4823027],0.5810413956642151,6.702317466289447,1.0,[33.97836312],[7.174695695228493],[False]
14,0.0,[30.52184861],0.5813121199607849,6.708505645248686,1.0,[29.61997352],[7.179874069581981],[False]
15,0.0,[26.47197114],0.5815913677215576,6.7146093153992,1.0,[25.30364455],[7.184773410626802],[False]
16,0.0,[22.42675504],0.5818700194358826,6.720683911379735,1.0,[21.00296645],[7.189901709263255],[False]
17,0.0,[18.37410931],0.5820195078849792,6.726730931706773,1.0,[16.70290124],[7.19487348395142],[False]
18,0.4000000059604645,[14.3198236],0.0,6.730736299597142,1.0,[12.39770507],[7.199838214783847],[ True]
19,0.4000000059604645,[10.78775529],0.0,4.660837909460754,1.0,[8.08660852],[7.2047796041985706],[ True]
20,0.0,[8.71474457],0.699999988079071,2.3498734891708826,1.0,[3.77343041],[7.209451357261747],[False]
21,0.0,[100],0.699999988079071,3.0580417038226346,1.0,[100],[7.211736757267326],[False]
22,0.0,[100],0.699999988079071,4.2108687498802135,1.0,[100],[7.21245394385375],[False]
23,0.0,[100],0.699999988079071,5.202334285472897,1.0,[100],[7.212661011155203],[False]
24,0.0,[100],0.6618517637252808,6.010233551820263,1.0,[100],[7.212717827190356],[False]
25,0.0,[100],0.5966941714286804,6.4351503505502725,1.0,[100],[7.212736041024967],[False]
26,0.0,[100],0.5814511775970459,6.561987271596907,1.0,[100],[7.212740639274672],[False]
27,0.0,[100],0.5779240727424622,6.598933988243284,1.0,[100],[7.212742188969002],[False]
28,0.0,[100],0.5772688388824463,6.612890593116793,1.0,[100],[7.2127441570399515],[False]
29,0.0,[100],0.5773300528526306,6.6210921048276825,1.0,[100],[7.212743438499792],[False]
30,0.0,[100],0.5775699615478516,6.627830946714283,1.0,[100],[7.212744068659801],[False]
31,0.0,[100],0.5778516530990601,6.634198176899715,1.0,[100],[7.212744777105776],[False]
32,0.0,[100],0.5781378149986267,6.640486453754197,1.0,[100],[7.212735621971585],[False]
33,0.0,[100],0.5784252285957336,6.646744654315904,1.0,[100],[4.712755728990667],[False]
34,0.0,[100],0.5787153840065002,6.652969107814264,1.0,[100],[0.000534379379145113],[False]
35,0.0,[100],0.5790063738822937,6.659172644830109,1.0,[100],[4.372545987320916e-06],[False]
36,0.0,[100],0.5792949199676514,6.66536794624997,1.0,[100],[0.10330163704719814],[False]
37,0.0,[100],0.5795822739601135,6.671546977933694,1.0,[100],[1.7281727177099104],[False]
38,0.0,[100],0.5798727869987488,6.677709783787927,1.0,[100],[3.1514053388329972],[False]
39,0.0,[100],0.5801584720611572,6.683852844591626,1.0,[100],[4.147911116758568],[False]
40,0.0,[100],0.5804435610771179,6.689989642813367,1.0,[100],[5.572826330381704],[False]
41,0.0,[100],0.5810903906822205,6.6949029811387035,1.0,[100],[6.607533319896561],[False]
42,0.0,[100],0.5815172791481018,6.700055998140689,1.0,[100],[6.968648568828873],[False]
43,0.0,[100],0.5825765132904053,6.703107659719087,1.0,[100],[7.069072408541611],[False]
44,0.0,[100],0.5831926465034485,6.70729838913386,1.0,[100],[7.099995103797204],[False]
45,0.0,[100],0.5843318104743958,6.7095705495531925,1.0,[100],[7.112272297651672],[False]
46,0.0,[100],0.5848269462585449,6.714094264811765,1.0,[100],[7.119350433530576],[False]
47,0.0,[100],0.5851663947105408,6.714115584680115,1.0,[100],[7.123341653521852],[False]
48,0.0,[100],0.5851401686668396,6.713846739178154,1.0,[100],[7.123485987891754],[False]
49,0.0,[100],0.585561215877533,6.7121280420538945,1.0,[100],[7.125724018526],[False]
50,0.0,[100],0.5856403112411499,6.711605826298757,1.0,[100],[7.130698864596488],[False]
51,0.0,[100],0.585651695728302,6.711466732799241,1.0,[100],[7.1357945579898185],[False]
52,0.0,[100],0.585656464099884,6.711433058097969,1.0,[100],[7.140981583454016],[False]
53,0.0,[100],0.5856580138206482,6.711426294698811,1.0,[100],[7.14843234197595],[False]
54,0.0,[100],0.58565753698349,6.7114237032681325,1.0,[100],[7.154297186793802],[False]
55,0.0,[100],0.585658073425293,6.71142163341901,1.0,[100],[7.159979062836171],[False]
56,0.0,[100],0.5856578946113586,6.711422992156207,1.0,[100],[7.165053308601471],[False]
57,0.0,[100],0.5856574773788452,6.711425534131179,1.0,[100],[7.170303849454092],[False]
58,0.0,[100],0.5856696367263794,6.711378699676641,1.0,[100],[7.174948544745239],[False]
59,0.0,[100],0.5861081480979919,6.710909252645446,1.0,[100],[7.183451035204246],[False]
