,ego_brake,ego_dist,ego_throttle,ego_vel,other_amount,other_dist,other_vel,shield_takeover
0,0.0,[66.68497416],0.699999988079071,0.00018586990625207517,1.0,[66.75901775],[0.0],
1,0.0,[66.68506881],0.699999988079071,0.00046321131955000846,1.0,[66.75886871],[4.6565987114219396e-08],
2,0.0,[66.68508436],0.699999988079071,3.227022863183026e-05,1.0,[66.75891414],[8.39200673534724e-09],
3,0.0,[66.68508436],0.699999988079071,1.4811630450372837e-05,1.0,[66.75891414],[1.001657232473175e-07],[False]
4,0.0,[56.65965835],0.699999988079071,0.2482671584631852,1.0,[70.23996215],[0.17635160060783037],[False]
5,0.0,[62.33837216],0.699999988079071,4.120392205817005,1.0,[71.06082971],[4.012656344771986],[False]
6,0.0,[59.4765944],0.699999988079071,5.271046704493695,1.0,[67.7795694],[5.743530502960406],[False]
7,0.0,[56.06549451],0.6638009548187256,6.093250063792619,1.0,[63.77397296],[6.6946086148211466],[False]
8,0.0,[52.64900497],0.5996159315109253,6.513797419302548,1.0,[58.7676476],[7.024661218003294],[False]
9,0.0,[49.2981848],0.5848411917686462,6.638323509604552,1.0,[53.2771434],[7.12001099859432],[False]
10,0.0,[45.84027378],0.5813669562339783,6.6742562648376484,1.0,[47.99949642],[7.150019498661042],[False]
11,0.0,[42.19866363],0.5807443857192993,6.687797874666573,1.0,[43.07562538],[7.162085932174064],[False]
12,0.0,[38.39775995],0.5808064937591553,6.695758908113231,1.0,[38.43437901],[7.169115145296564],[False]
13,0.0,[34.4823027],0.5810413956642151,6.702317466289447,1.0,[33.97836312],[7.174695695228493],[False]
14,0.0,[30.52184861],0.5813121199607849,6.708505645248686,1.0,[29.61997352],[7.179874069581981],[False]
15,0.0,[26.47197114],0.5815913677215576,6.7146093153992,1.0,[25.30364455],[7.184773410626802],[False]
16,0.0,[22.42675504],0.5818700194358826,6.720683911379735,1.0,[21.00296645],[7.189901709263255],[False]
17,0.0,[18.37410931],0.0,6.726730931706773,1.0,[16.70290124],[7.19487348395142],[ True]
18,0.4000000059604645,[14.68909283],0.0,5.206806337673997,1.0,[12.39343034],[7.199838214783847],[ True]
19,0.0,[12.28291657],0.699999988079071,2.8303519630169567,1.0,[8.07233988],[7.2047796041985706],[False]
20,0.0,[10.50502099],0.0,3.405332032815613,1.0,[3.75124066],[7.209451357261747],[ True]
21,0.0,[100],0.699999988079071,2.776423051323152,1.0,[100],[7.211736757267326],[False]
22,0.0,[100],0.699999988079071,3.4197546656663733,1.0,[100],[7.21245394385375],[False]
23,0.0,[100],0.699999988079071,4.5272122650080435,1.0,[100],[7.212661011155203],[False]
24,0.0,[100],0.699999988079071,5.462918070892745,1.0,[100],[7.212717827190356],[False]
25,0.0,[100],0.6311054229736328,6.185252060854447,1.0,[100],[7.212736041024967],[False]
26,0.0,[100],0.5893267393112183,6.486530058051418,1.0,[100],[7.212740639274672],[False]
27,0.0,[100],0.5795214772224426,6.572492458576249,1.0,[100],[7.212742188969002],[False]
28,0.0,[100],0.577319324016571,6.598891562035529,1.0,[100],[7.2127441570399515],[False]
29,0.0,[100],0.5769951343536377,6.6102152027111885,1.0,[100],[7.212743438499792],[False]
30,0.0,[100],0.5771360397338867,6.617768017907659,1.0,[100],[7.212744068659801],[False]
31,0.0,[100],0.5773940086364746,6.62435525548731,1.0,[100],[7.212744777105776],[False]
32,0.0,[100],0.5776853561401367,6.630688194915901,1.0,[100],[7.212735621971585],[False]
33,0.0,[100],0.5779746770858765,6.6369733490034015,1.0,[100],[4.712755728990667],[False]
34,0.0,[100],0.5782594084739685,6.643233922564194,1.0,[100],[0.000534379379145113],[False]
35,0.0,[100],0.5785487294197083,6.6494735401310265,1.0,[100],[4.372545987320916e-06],[False]
36,0.0,[100],0.5788403749465942,6.6556861649029315,1.0,[100],[0.10330163704719814],[False]
37,0.0,[100],0.5791316032409668,6.661885678080182,1.0,[100],[1.7281727177099104],[False]
38,0.0,[100],0.5794185400009155,6.668073873627345,1.0,[100],[3.1514053388329972],[False]
39,0.0,[100],0.5797049403190613,6.674247467995051,1.0,[100],[4.147911116758568],[False]
40,0.0,[100],0.5799967050552368,6.680393656966821,1.0,[100],[5.572826330381704],[False]
41,0.0,[100],0.5802814364433289,6.68653756466383,1.0,[100],[6.607533319896561],[False]
42,0.0,[100],0.5809216499328613,6.6911344586839805,1.0,[100],[6.968648568828873],[False]
43,0.0,[100],0.5813857913017273,6.696482146391884,1.0,[100],[7.069072408541611],[False]
44,0.0,[100],0.582726001739502,6.6988198457186,1.0,[100],[7.099995103797204],[False]
45,0.0,[100],0.5830743908882141,6.703378136718159,1.0,[100],[7.112272297651672],[False]
46,0.0,[100],0.5843523740768433,6.70555713225347,1.0,[100],[7.119350433530576],[False]
47,0.0,[100],0.5853176116943359,6.709432901336433,1.0,[100],[7.123341653521852],[False]
48,0.0,[100],0.5853660702705383,6.71192507457836,1.0,[100],[7.123485987891754],[False]
49,0.0,[100],0.585504949092865,6.712586550033788,1.0,[100],[7.125724018526],[False]
50,0.0,[100],0.5855831503868103,6.711825756245977,1.0,[100],[7.130698864596488],[False]
51,0.0,[100],0.585649847984314,6.711506527818476,1.0,[100],[7.1357945579898185],[False]
52,0.0,[100],0.5856545567512512,6.711442437119185,1.0,[100],[7.140981583454016],[False]
53,0.0,[100],0.585657000541687,6.711428078096415,1.0,[100],[7.14843234197595],[False]
54,0.0,[100],0.58565753698349,6.711423389270264,1.0,[100],[7.154297186793802],[False]
55,0.0,[100],0.5856586694717407,6.711421080659798,1.0,[100],[7.159979062836171],[False]
56,0.0,[100],0.5856584906578064,6.711419473170537,1.0,[100],[7.165053308601471],[False]
57,0.0,[100],0.5856575965881348,6.711422265030973,1.0,[100],[7.170303849454092],[False]
58,0.0,[100],0.5856563448905945,6.711425402340192,1.0,[100],[7.174948544745239],[False]
59,0.0,[100],0.5856977701187134,6.711295053058926,1.0,[100],[7.183451035204246],[False]
